"","x"
"1",0.750965146630987
"2",3.43097414772621
"3",1.58199069634249
"4",5.69214486499878
"5",3.72537991686703
"6",1.53551868335692
"7",3.88327863323406
"8",4.63665189513264
"9",1.6810923552271
"10",0.656428418210763
"11",0.830842734449549
"12",1.53573465414852
"13",2.14562413955054
"14",0.478151049891011
"15",1.49935711749043
"16",0.351612616262229
"17",9.11422633330049
"18",6.56315001851359
"19",2.63249205485784
"20",0.852070363749632
"21",1.85617033352372
"22",4.1963256340176
"23",0.18594599725911
"24",0.724016585430709
"25",1.37972257131037
"26",5.2337819025634
"27",0.372572109292842
"28",3.2120749591169
"29",3.62922552334988
"30",3.23274127694878
"31",1.56820071544924
"32",3.65324430074648
"33",1.01289329114216
"34",2.547619851616
"35",2.17687876619952
"36",3.18958907426293
"37",0.517354658903725
"38",0.253479819476074
"39",1.26960007062985
"40",0.119831224034984
"41",0.892514334946169
"42",1.40298939711954
"43",2.09151010284638
"44",2.55818009637055
"45",1.45915639718643
"46",1.64836637601219
"47",1.27812038667049
"48",3.82872200335505
"49",5.00516907990687
"50",1.93674977474041
"51",1.72834325389918
"52",3.41878981691817
"53",1.49078965314388
"54",3.82472269546374
"55",2.37637953999519
"56",0.870252233214862
"57",5.2690177811814
"58",1.41390450869152
"59",5.88294281408558
"60",0.600214211764221
"61",6.52353299268692
"62",2.28509150119418
"63",3.93439926944232
"64",1.83987575911971
"65",1.69880322720224
"66",7.9493230755205
"67",9.68575267041754
"68",0.934335106789652
"69",0.211658744073173
"70",1.20951530596968
"71",5.63749750237002
"72",2.63475839578081
"73",3.54670896871293
"74",1.34782848004577
"75",4.28612166175334
"76",2.48865266206773
"77",3.28185165706375
"78",1.85891611152571
"79",14.1300361337524
"80",8.76953197168327
"81",0.650557696462467
"82",2.08091825923695
"83",1.12624549159319
"84",4.13111666462365
"85",9.45190078512765
"86",3.06438212191334
"87",0.966962883737074
"88",0.868657101191527
"89",3.14232555350391
"90",3.29028657331425
"91",3.6985395367668
"92",1.89378820210973
"93",0.831357386951821
"94",1.60150571882413
"95",2.78513171322912
"96",2.34635638168666
"97",1.27281579858573
"98",8.99474708306018
"99",1.30714429212181
"100",0.584758375739962
"101",2.58749470931419
"102",6.25206615652287
"103",4.69733514213531
"104",1.60423114741702
"105",2.309775340435
"106",0.40702149047746
"107",1.22949709987188
"108",1.14919752849012
"109",3.04472012027675
"110",2.05529635680549
"111",5.59143331757683
"112",4.76841683615531
"113",0.0544390912108058
"114",2.67359056796876
"115",2.35404778750502
"116",3.81553346870698
"117",1.38183324719379
"118",0.692181291093973
"119",1.0826974475826
"120",1.19677211106874
"121",3.01943041951112
"122",0.147625861612497
"123",2.88510626353412
"124",10.7336380381594
"125",4.08132261535157
"126",1.12951249234586
"127",0.761595188414601
"128",5.6989192696634
"129",1.77267022027995
"130",3.08928629134288
"131",3.43488510634601
"132",1.06253753824738
"133",3.96171243908928
"134",2.3970419888624
"135",3.06088744167714
"136",0.770829222414356
"137",2.43477733579287
